source.type,pucid,form,description,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0
Food,AS,form1,FOOD; AS: ASPARAGUS ,1,1,0,0,0,0,0,0,0,0
Food,BA,form1,FOOD; BA: BANANA ,1,1,0,0,0,0,0,0,0,0
Food,BF,form1,FOOD; BF: BEEF ,1,1,0,0,0,0,0,0,0,0
Food,BR,form1,FOOD; BR: BRASSICA LEAFY VEGETABLES ,1,1,0,0,0,0,0,0,0,0
Food,BS,form1,FOOD; BS: BERRIES OR SMALL FRUIT ,1,1,0,0,0,0,0,0,0,0
Food,BV,form1,FOOD; BV: BULB VEGETABLES ,1,1,0,0,0,0,0,0,0,0
Food,CF,form1,FOOD; CF: CITRUS FRUITS ,1,1,0,0,0,0,0,0,0,0
Food,CG,form1,FOOD; CG: CEREAL GRAINS ,1,1,0,0,0,0,0,0,0,0
Food,CV,form1,FOOD; CV: CURCURBIT VEGETABLES ,1,1,0,0,0,0,0,0,0,0
Food,DP,form1,FOOD; DP: DAIRY PRODUCTS ,1,1,0,0,0,0,0,0,0,0
Food,DW,form1,FOOD; DW: DRINKING WATER ,1,1,0,0,0,0,0,0,0,0
Food,EF,form1,FOOD; EF: EDIBLE FUNGI ,1,1,0,0,0,0,0,0,0,0
Food,EG,form1,FOOD; EG: EGG ,1,1,0,0,0,0,0,0,0,0
Food,FI,form1,FOOD; FI: FISH ,1,1,0,0,0,0,0,0,0,0
Food,FV,form1,FOOD; FV: FRUITING VEGETABLES ,1,1,0,0,0,0,0,0,0,0
Food,HO,form1,FOOD; HO: HONEY ,1,1,0,0,0,0,0,0,0,0
Food,HS,form1,FOOD; HS: HERBS AND SPICES ,1,1,0,0,0,0,0,0,0,0
Food,LE,form1,FOOD; LE: LEAFY VEGETABLES ,1,1,0,0,0,0,0,0,0,0
Food,LV,form1,FOOD; LV: LEGUME VEGETABLES ,1,1,0,0,0,0,0,0,0,0
Food,MA,form1,FOOD; MA: MANGO ,1,1,0,0,0,0,0,0,0,0
Food,OT,form1,FOOD; OT: OTHER ,1,1,0,0,0,0,0,0,0,0
Food,PA,form1,FOOD; PA: PAPAYA ,1,1,0,0,0,0,0,0,0,0
Food,PE,form1,FOOD; PE: PEANUT ,1,1,0,0,0,0,0,0,0,0
Food,PF,form1,FOOD; PF: POME FRUITS ,1,1,0,0,0,0,0,0,0,0
Food,PI,form1,FOOD; PI: PINEAPPLE ,1,1,0,0,0,0,0,0,0,0
Food,PO,form1,FOOD; PO: POULTRY ,1,1,0,0,0,0,0,0,0,0
Food,PR,form1,FOOD; PR: PORK ,1,1,0,0,0,0,0,0,0,0
Food,RS,form1,FOOD; RS: RAISINS ,1,1,0,0,0,0,0,0,0,0
Food,RT,form1,FOOD; RT: ROOT OR TUBER VEGETABLES ,1,1,0,0,0,0,0,0,0,0
Food,SF,form1,FOOD; SF: STONE FRUITS ,1,1,0,0,0,0,0,0,0,0
Food,TN,form1,FOOD; TN: TREE NUTS ,1,1,0,0,0,0,0,0,0,0
